"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1203","Cannot login with invalid username and valid password","webkit","Thu Jan 02 16:37:23 CET 2025","passed","Thu Jan 02 16:37:24 CET 2025","Login","login.spec.js","",""
"","7965","Simple alert","chromium","Fri Dec 27 12:41:11 CET 2024","passed","Fri Dec 27 12:41:19 CET 2024","Alerts","alerts.spec.js","",""
"","1744","Succesfull login","firefox","Thu Jan 02 16:37:23 CET 2025","passed","Thu Jan 02 16:37:24 CET 2025","Login","login.spec.js","",""
"","13251","Assertions","chromium","Thu Dec 12 07:59:42 CET 2024","failed","Thu Dec 12 07:59:56 CET 2024","","assertions.spec.js","",""
"","10571","Confirm alert","chromium","Thu Dec 12 07:59:42 CET 2024","passed","Thu Dec 12 07:59:52 CET 2024","Alerts","alerts.spec.js","",""
"","7808","Viewport screenshot","chromium","Fri Dec 27 12:47:41 CET 2024","passed","Fri Dec 27 12:47:49 CET 2024","Screenshots","screenshots.spec.js","",""
"","12115","Prompt alert","chromium","Thu Dec 12 07:59:42 CET 2024","passed","Thu Dec 12 07:59:54 CET 2024","Alerts","alerts.spec.js","",""
"","1815","element state","chromium","Thu Dec 12 07:59:53 CET 2024","passed","Thu Dec 12 07:59:55 CET 2024","","elementState.spec.js","",""
"","785","Cannot login with invalid username and valid password","chromium","Thu Jan 02 16:37:23 CET 2025","passed","Thu Jan 02 16:37:23 CET 2025","Login","login.spec.js","",""
"","810","Succesfull login","chromium","Thu Jan 02 16:37:23 CET 2025","passed","Thu Jan 02 16:37:23 CET 2025","Login","login.spec.js","",""
"","1919","get started link","chromium","Thu Dec 12 07:59:54 CET 2024","passed","Thu Dec 12 07:59:56 CET 2024","","example.spec.js","",""
"","6","Mouse paint","chromium","Thu Jan 02 15:23:19 CET 2025","failed","Thu Jan 02 15:23:19 CET 2025","Mouse","mouse.spec.js","",""
"","8756","test","chromium","Wed Dec 11 13:20:22 CET 2024","passed","Wed Dec 11 13:20:31 CET 2024","","recordtest.spec.js","",""
"","1427","Verify home title","chromium","Fri Sep 06 11:30:57 CEST 2024","passed","Fri Sep 06 11:30:58 CEST 2024","","home.spec.js","",""
"","1165","Succesfull login","webkit","Thu Jan 02 16:37:23 CET 2025","passed","Thu Jan 02 16:37:24 CET 2025","Login","login.spec.js","",""
"","1660","Cannot login with invalid username and valid password","firefox","Thu Jan 02 16:37:23 CET 2025","passed","Thu Jan 02 16:37:24 CET 2025","Login","login.spec.js","",""
